,classe,grid_name,year,area_ha
12980,3,NA-20-V-A,2022,17449.621440972296
13507,11,NA-20-V-A,2022,1.2486503173828123
13797,12,NA-20-V-A,2022,48.34174774780269
14086,15,NA-20-V-A,2022,60.11700517255
14889,33,NA-20-V-A,2022,34.24884064941406
15181,3,NA-20-V-A,2023,17371.637785204617
15984,12,NA-20-V-A,2023,21.405985681152323
16268,15,NA-20-V-A,2023,67.55104830566405
17069,33,NA-20-V-A,2023,133.87477811889607
9,3,NA-20-V-B,2016,1400649.094653918
297,4,NA-20-V-B,2016,68.80039977416988
529,11,NA-20-V-B,2016,564.5137565246583
819,12,NA-20-V-B,2016,274.43507151489234
1108,15,NA-20-V-B,2016,215.90466851811425
1604,25,NA-20-V-B,2016,17.48758815307619
1866,33,NA-20-V-B,2016,4297.921196975629
2157,3,NA-20-V-B,2017,1400742.4788220816
2445,4,NA-20-V-B,2017,68.62195500488276
2677,11,NA-20-V-B,2017,162.33646519775323
2967,12,NA-20-V-B,2017,290.93406502075175
3256,15,NA-20-V-B,2017,246.3646145641376
3751,25,NA-20-V-B,2017,94.66501713867164
4015,33,NA-20-V-B,2017,4482.66712477133
4307,3,NA-20-V-B,2018,1400670.3761036634
4595,4,NA-20-V-B,2018,68.88951399536128
4827,11,NA-20-V-B,2018,32.29993385009765
5117,12,NA-20-V-B,2018,247.12251118774432
5407,15,NA-20-V-B,2018,280.7534151881317
5902,25,NA-20-V-B,2018,317.448338928224
6165,33,NA-20-V-B,2018,4471.446020108239
6457,3,NA-20-V-B,2019,1400283.1027621508
6745,4,NA-20-V-B,2019,66.21282819213863
6977,11,NA-20-V-B,2019,88.15325276491654
7268,12,NA-20-V-B,2019,241.9455000061036
7558,15,NA-20-V-B,2019,393.0938052754952
8057,25,NA-20-V-B,2019,489.6435851989761
8320,33,NA-20-V-B,2019,4526.094841823858
8611,3,NA-20-V-B,2020,1399800.8429518125
8899,4,NA-20-V-B,2020,52.562002124023394
9135,11,NA-20-V-B,2020,154.20817977905273
9426,12,NA-20-V-B,2020,291.9158792419434
9717,15,NA-20-V-B,2020,650.0294499791514
10224,25,NA-20-V-B,2020,585.9174075195307
10491,33,NA-20-V-B,2020,4552.68144460476
10782,3,NA-20-V-B,2021,1399052.9590726153
11070,4,NA-20-V-B,2021,52.74024100952144
11311,11,NA-20-V-B,2021,496.9051883171782
11603,12,NA-20-V-B,2021,320.98499013487583
11893,15,NA-20-V-B,2021,730.4469023927461
12413,25,NA-20-V-B,2021,868.4840717102034
12690,33,NA-20-V-B,2021,4565.547641333283
12981,3,NA-20-V-B,2022,1398394.2967117
13269,4,NA-20-V-B,2022,52.0265793518066
13508,11,NA-20-V-B,2022,7.672041455078125
13798,12,NA-20-V-B,2022,359.87841789763826
14087,15,NA-20-V-B,2022,899.046249519594
14607,25,NA-20-V-B,2022,1399.103808459481
14890,33,NA-20-V-B,2022,4976.044236532112
15182,3,NA-20-V-B,2023,1397778.5669613718
15471,4,NA-20-V-B,2023,52.47251757812496
15704,11,NA-20-V-B,2023,23.106395489501992
15985,12,NA-20-V-B,2023,237.3480025878902
16269,15,NA-20-V-B,2023,1318.730774313126
16787,25,NA-20-V-B,2023,1417.841971002205
17070,33,NA-20-V-B,2023,5260.180095794346
10,3,NA-20-V-D,2016,953358.9080674987
298,4,NA-20-V-D,2016,1064.4004735168578
530,11,NA-20-V-D,2016,267.9113538662774
820,12,NA-20-V-D,2016,1057.1882724753114
1109,15,NA-20-V-D,2016,55.49083198802278
1605,25,NA-20-V-D,2016,1.518225250244141
1867,33,NA-20-V-D,2016,239.4954040255436
2158,3,NA-20-V-D,2017,953401.2323104871
2446,4,NA-20-V-D,2017,1065.6503526489382
2678,11,NA-20-V-D,2017,73.0385539001465
2968,12,NA-20-V-D,2017,1081.5644649862938
3257,15,NA-20-V-D,2017,50.2802620178223
3752,25,NA-20-V-D,2017,4.822585675048828
4016,33,NA-20-V-D,2017,367.7882464139329
4308,3,NA-20-V-D,2018,953525.4046094303
4596,4,NA-20-V-D,2018,1066.2755059936644
4828,11,NA-20-V-D,2018,9.287324377441408
5118,12,NA-20-V-D,2018,1083.843281958022
5408,15,NA-20-V-D,2018,62.42520885009768
5903,25,NA-20-V-D,2018,32.953771447753894
6166,33,NA-20-V-D,2018,264.81218505306435
6458,3,NA-20-V-D,2019,953187.7626802004
6746,4,NA-20-V-D,2019,1066.9899135742312
6978,11,NA-20-V-D,2019,86.53905443115234
7269,12,NA-20-V-D,2019,1090.4506469726691
7559,15,NA-20-V-D,2019,190.4702321228028
7842,18,NA-20-V-D,2019,2.589559869384765
8058,25,NA-20-V-D,2019,140.30095875244135
8321,33,NA-20-V-D,2019,279.988143969104
8612,3,NA-20-V-D,2020,952422.7369174272
8900,4,NA-20-V-D,2020,1060.4712700927855
9136,11,NA-20-V-D,2020,385.408321118164
9427,12,NA-20-V-D,2020,1134.2042711670113
9718,15,NA-20-V-D,2020,510.3819739950737
10001,18,NA-20-V-D,2020,2.589559869384765
10225,25,NA-20-V-D,2020,254.2617338928227
10492,33,NA-20-V-D,2020,274.9478509981999
10783,3,NA-20-V-D,2021,951445.2475061278
11071,4,NA-20-V-D,2021,1053.0595884887816
11312,11,NA-20-V-D,2021,912.152477374268
11604,12,NA-20-V-D,2021,1169.6543262146165
11894,15,NA-20-V-D,2021,595.9426647238331
12414,25,NA-20-V-D,2021,562.5668638427743
12691,33,NA-20-V-D,2021,306.02114203823845
12982,3,NA-20-V-D,2022,950686.553427248
13270,4,NA-20-V-D,2022,1038.0590624084575
13509,11,NA-20-V-D,2022,5.178946740722656
13799,12,NA-20-V-D,2022,1687.8214520690813
14088,15,NA-20-V-D,2022,629.1649504294
14608,25,NA-20-V-D,2022,1525.1420618378002
14891,33,NA-20-V-D,2022,472.6353394143262
15183,3,NA-20-V-D,2023,950189.0379085235
15472,4,NA-20-V-D,2023,880.4540852722236
15986,12,NA-20-V-D,2023,1973.5591673400652
16270,15,NA-20-V-D,2023,920.6343323318772
16788,25,NA-20-V-D,2023,1534.1602710052814
17071,33,NA-20-V-D,2023,547.5132769957534
11,3,NA-20-X-A,2016,1652968.4404952214
299,4,NA-20-X-A,2016,389.83585025376215
531,11,NA-20-X-A,2016,5537.923878420477
821,12,NA-20-X-A,2016,43470.599480129946
1110,15,NA-20-X-A,2016,37868.4662867676
1390,18,NA-20-X-A,2016,15.265198046875
1606,25,NA-20-X-A,2016,158.88620492553744
1868,33,NA-20-X-A,2016,10925.597920201211
2159,3,NA-20-X-A,2017,1651902.642038959
2447,4,NA-20-X-A,2017,388.2300241673365
2679,11,NA-20-X-A,2017,5328.923702067398
2969,12,NA-20-X-A,2017,43482.341056730846
3258,15,NA-20-X-A,2017,38135.06362207529
3538,18,NA-20-X-A,2017,18.925370416259785
3753,25,NA-20-X-A,2017,150.85745413818393
4017,33,NA-20-X-A,2017,11928.21050606554
4309,3,NA-20-X-A,2018,1649797.1855028155
4597,4,NA-20-X-A,2018,390.0142726902857
4829,11,NA-20-X-A,2018,5356.851383115982
5119,12,NA-20-X-A,2018,43549.98052925057
5409,15,NA-20-X-A,2018,40028.35959778496
5690,18,NA-20-X-A,2018,58.48514833902982
5904,25,NA-20-X-A,2018,148.18258746337924
6167,33,NA-20-X-A,2018,12005.956315910502
6459,3,NA-20-X-A,2019,1644929.944430469
6747,4,NA-20-X-A,2019,428.7082972867357
6979,11,NA-20-X-A,2019,5475.163199589554
7270,12,NA-20-X-A,2019,43750.21453605379
7560,15,NA-20-X-A,2019,44465.36893830432
7843,18,NA-20-X-A,2019,100.80370204568275
8059,25,NA-20-X-A,2019,143.3656140197757
8322,33,NA-20-X-A,2019,12041.357357540051
8613,3,NA-20-X-A,2020,1642731.7080143031
8901,4,NA-20-X-A,2020,441.0206411893237
9137,11,NA-20-X-A,2020,5423.862958311435
9428,12,NA-20-X-A,2020,43753.68527582528
9719,15,NA-20-X-A,2020,46606.815063073744
10002,18,NA-20-X-A,2020,101.56230137061014
10226,25,NA-20-X-A,2020,144.7044408020023
10493,33,NA-20-X-A,2020,12131.835079762932
10784,3,NA-20-X-A,2021,1639157.61521255
11072,4,NA-20-X-A,2021,428.76648961353976
11313,11,NA-20-X-A,2021,5607.206782214728
11605,12,NA-20-X-A,2021,43472.53461458821
11895,15,NA-20-X-A,2021,49897.87560942728
12177,18,NA-20-X-A,2021,92.28085135840303
12415,25,NA-20-X-A,2021,149.4338733703614
12692,33,NA-20-X-A,2021,12529.48034149409
12983,3,NA-20-X-A,2022,1639078.234223224
13271,4,NA-20-X-A,2022,380.2748953444534
13510,11,NA-20-X-A,2022,5049.303848114129
13800,12,NA-20-X-A,2022,42432.57409509302
14089,15,NA-20-X-A,2022,50840.574864735085
14371,18,NA-20-X-A,2022,91.56701041602021
14609,25,NA-20-X-A,2022,151.84315181884776
14892,33,NA-20-X-A,2022,13310.554040214673
15184,3,NA-20-X-A,2023,1635609.9220814311
